BaseCase,RA,RASDG,Year,indicator,Country/Region
12.71,12.71,12.71,2020,Poverty_Rate,Central & Southern Asia
11.21,11.21,11.21,2021,Poverty_Rate,Central & Southern Asia
9.739,9.739,9.739,2022,Poverty_Rate,Central & Southern Asia
8.82,8.82,8.82,2023,Poverty_Rate,Central & Southern Asia
8.243,8.243,8.243,2024,Poverty_Rate,Central & Southern Asia
7.784,7.785,7.397,2025,Poverty_Rate,Central & Southern Asia
7.31,7.311,6.632,2026,Poverty_Rate,Central & Southern Asia
6.869,6.872,5.994,2027,Poverty_Rate,Central & Southern Asia
6.462,6.462,5.446,2028,Poverty_Rate,Central & Southern Asia
6.008,5.994,4.873,2029,Poverty_Rate,Central & Southern Asia
5.53,5.492,4.296,2030,Poverty_Rate,Central & Southern Asia
5.088,5.025,3.775,2031,Poverty_Rate,Central & Southern Asia
4.74,4.653,3.343,2032,Poverty_Rate,Central & Southern Asia
4.459,4.355,2.987,2033,Poverty_Rate,Central & Southern Asia
4.234,4.122,2.707,2034,Poverty_Rate,Central & Southern Asia
4.036,3.926,2.478,2035,Poverty_Rate,Central & Southern Asia
3.856,3.755,2.286,2036,Poverty_Rate,Central & Southern Asia
3.687,3.598,2.123,2037,Poverty_Rate,Central & Southern Asia
3.525,3.45,2.033,2038,Poverty_Rate,Central & Southern Asia
3.373,3.309,1.954,2039,Poverty_Rate,Central & Southern Asia
3.228,3.176,1.874,2040,Poverty_Rate,Central & Southern Asia
3.093,3.051,1.792,2041,Poverty_Rate,Central & Southern Asia
2.971,2.938,1.708,2042,Poverty_Rate,Central & Southern Asia
2.867,2.832,1.626,2043,Poverty_Rate,Central & Southern Asia
2.772,2.736,1.541,2044,Poverty_Rate,Central & Southern Asia
2.677,2.643,1.457,2045,Poverty_Rate,Central & Southern Asia
2.58,2.55,1.374,2046,Poverty_Rate,Central & Southern Asia
2.479,2.454,1.293,2047,Poverty_Rate,Central & Southern Asia
2.377,2.354,1.216,2048,Poverty_Rate,Central & Southern Asia
2.273,2.25,1.138,2049,Poverty_Rate,Central & Southern Asia
2.168,2.148,1.058,2050,Poverty_Rate,Central & Southern Asia
2.063,2.045,0.979,2051,Poverty_Rate,Central & Southern Asia
1.959,1.944,0.9,2052,Poverty_Rate,Central & Southern Asia
1.857,1.846,0.825,2053,Poverty_Rate,Central & Southern Asia
1.759,1.754,0.758,2054,Poverty_Rate,Central & Southern Asia
1.669,1.67,0.699,2055,Poverty_Rate,Central & Southern Asia
1.589,1.595,0.647,2056,Poverty_Rate,Central & Southern Asia
1.52,1.529,0.6,2057,Poverty_Rate,Central & Southern Asia
1.459,1.47,0.558,2058,Poverty_Rate,Central & Southern Asia
1.408,1.418,0.521,2059,Poverty_Rate,Central & Southern Asia
1.364,1.371,0.488,2060,Poverty_Rate,Central & Southern Asia
1.358,1.358,1.358,2020,Poverty_Rate,East & Southeast Asia
1.335,1.335,1.335,2021,Poverty_Rate,East & Southeast Asia
1.177,1.177,1.177,2022,Poverty_Rate,East & Southeast Asia
1.1,1.1,1.1,2023,Poverty_Rate,East & Southeast Asia
1.027,1.027,1.027,2024,Poverty_Rate,East & Southeast Asia
0.971,0.971,0.935,2025,Poverty_Rate,East & Southeast Asia
0.933,0.933,0.871,2026,Poverty_Rate,East & Southeast Asia
0.908,0.908,0.826,2027,Poverty_Rate,East & Southeast Asia
0.888,0.888,0.788,2028,Poverty_Rate,East & Southeast Asia
0.854,0.853,0.741,2029,Poverty_Rate,East & Southeast Asia
0.809,0.806,0.685,2030,Poverty_Rate,East & Southeast Asia
